Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
Jordan Poole,GSW,"PG,SG",18.7,3.5,4.1,0.3,0.9,0.448,0.919,2.8,77,30.6,2.6,13.92,3.50
Desmond Bane,MEM,"PG,SG,SF DTD",18.7,4.2,3.1,0.3,1.2,0.462,0.905,3,75,30.4,1.6,14.49,2.04
Collin Sexton,UTH,"PG,SG",18.6,3.4,4.3,0.2,1,0.444,0.795,1.5,74,31.5,2.6,17.90,5.60
Tyrese Haliburton,IND,"PG,SG DTD",18.5,4,9.4,0.5,1.6,0.472,0.85,2.2,76,35,2.7,11.78,2.47
Jrue Holiday,MIL,"PG,SG",18.4,4.6,6.9,0.4,1.7,0.485,0.726,2,70,33.5,2.9,14.24,2.69
Jamal Murray,DEN,"PG,SG",18.3,4,4.3,0.3,1,0.438,0.83,2.4,64,31.5,1.9,16.50,3.20
Deandre Ayton,PHO,C DTD,18.2,10,1.4,0.8,0.7,0.641,0.719,0.2,71,30.5,1.6,12.02,2.45
Gary Trent Jr.,TOR,"SG,SF DTD",17.9,2.8,2.2,0.3,1.5,0.417,0.844,3,71,34.1,1.1,15.50,2.70
Jalen Brunson,NYK,"PG,SG",17.8,3.6,5.9,0,0.9,0.484,0.833,1.5,77,33.8,1.9,12.76,2.70
Bojan Bogdanovic,UTH,"SF,PF DTD",17.8,4.2,1.6,0.3,0.6,0.452,0.832,2.5,73,30.5,1.7,13.46,3.77
Saddiq Bey,DET,SF,17.5,5.2,2.6,0.2,0.9,0.42,0.832,2.9,80,33.1,1.3,13.85,3.10
Scottie Barnes,TOR,"SF,PF DTD",17.5,7.3,4.1,0.7,1.2,0.492,0.741,1.1,75,36.1,1.9,12.59,2.91
Paolo Banchero,ORL,PF,17.4,7.9,3.5,0.8,1,0.463,0.739,1.2,75,32,2.7,15.00,5.00
Gordon Hayward,CHA,"SG,SF DTD",17.3,4.8,3.7,0.4,1,0.455,0.844,2,61,31.9,1.7,12.59,3.04
OG Anunoby,TOR,"SF,PF DTD",17.1,5.6,2.9,0.5,1.5,0.448,0.756,2.5,67,36.3,1.7,13.50,2.50
Nikola Vucevic,CHI,C,17.1,10.2,2.9,1,1,0.467,0.765,1.3,73,31.7,1.8,15.81,1.66
Kevin Porter Jr.,HOU,"SG,SF,PG DTD",17.1,4.5,6.6,0.4,1.3,0.418,0.696,2.7,68,32,3.3,15.00,3.70
D'Angelo Russell,MIN,"PG,SG",17,3.5,7.1,0.3,1.1,0.423,0.804,2.5,68,32.2,2.7,15.00,3.69
Andrew Wiggins,GSW,"SG,SF",17,4.8,2.2,0.7,1,0.454,0.648,2.3,75,32.3,1.6,13.96,3.22
Franz Wagner,ORL,"SG,SF DTD",16.4,4.6,2.8,0.4,0.9,0.449,0.866,1.5,78,31.8,1.6,12.34,2.77
Michael Porter Jr.,DEN,"SF,PF OUT",16.3,7,1.7,0.7,1,0.463,0.773,2.1,62,31.8,1.4,14.90,2.40
